Sales_Person,Country,Product,Date,Amount,Boxes_Shipped
Brien Boise,USA,Manuka Honey Choco,22/08/2022,1904,8
Roddy Speechley,New Zealand,85% Dark Bars,14/04/2022,4844,275
Oby Sorrel,UK,Smooth Sliky Salty,31/05/2022,9625,313
Oby Sorrel,UK,Raspberry Choco,8/4/2022,4599,323
Roddy Speechley,USA,Drinking Coco,21/02/2022,3003,155
Andria Kimpton,Australia,Manuka Honey Choco,30/03/2022,9744,377
Mallorie Waber,India,Raspberry Choco,2/3/2022,1400,2
Jehu Rudeforth,USA,Orange Choco,28/07/2022,364,170
Kaine Padly,New Zealand,70% Dark Bites,24/03/2022,7231,38
Curtice Advani,Australia,After Nines,11/8/2022,63,105
Husein Augar,UK,Almond Choco,17/05/2022,8309,166
Kaine Padly,Canada,Choco Coated Almonds,18/05/2022,3164,164
Roddy Speechley,UK,Peanut Butter Cubes,17/08/2022,5691,171
Ches Bonnell,New Zealand,Eclairs,4/4/2022,490,49
Brien Boise,India,85% Dark Bars,9/8/2022,18032,205
Brien Boise,New Zealand,Organic Choco Syrup,17/01/2022,637,313
Andria Kimpton,Canada,White Choc,14/02/2022,4067,29
Gigi Bohling,New Zealand,Orange Choco,16/05/2022,8204,307
Ches Bonnell,Canada,Smooth Sliky Salty,16/03/2022,9870,121
Husein Augar,Canada,70% Dark Bites,31/01/2022,5131,285
Barr Faughny,Canada,Organic Choco Syrup,10/3/2022,1141,205
Oby Sorrel,UK,Organic Choco Syrup,30/06/2022,7980,157
Van Tuxwell,New Zealand,Eclairs,1/3/2022,5229,182
Mallorie Waber,UK,Drinking Coco,27/05/2022,3423,100
Oby Sorrel,UK,Milk Bars,11/7/2022,6468,223
Karlen McCaffrey,New Zealand,Mint Chip Choco,2/3/2022,4326,61
Jehu Rudeforth,USA,Raspberry Choco,4/3/2022,7154,133
Kelci Walkden,UK,85% Dark Bars,23/06/2022,3997,228
Kelci Walkden,USA,Almond Choco,27/01/2022,5180,233
Marney O'Breen,Canada,Orange Choco,14/01/2022,2723,425
Dennison Crosswaite,India,Fruit & Nut Bars,29/07/2022,952,24
Brien Boise,Canada,Smooth Sliky Salty,13/05/2022,5691,495
Barr Faughny,Canada,Baker's Choco Chips,3/2/2022,10969,170
Brien Boise,India,Smooth Sliky Salty,27/05/2022,5964,26
Jan Morforth,Australia,Drinking Coco,18/02/2022,2821,24
Brien Boise,India,Spicy Special Slims,28/01/2022,1302,33
Van Tuxwell,UK,Eclairs,29/06/2022,5474,109
Wilone O'Kielt,India,Caramel Stuffed Bars,13/01/2022,4179,276
Jehu Rudeforth,UK,After Nines,27/06/2022,1946,164
Barr Faughny,Canada,White Choc,29/03/2022,4291,1
Gunar Cockshoot,India,Organic Choco Syrup,3/6/2022,7196,160
Mallorie Waber,Canada,Smooth Sliky Salty,21/03/2022,1939,98
Mallorie Waber,India,Eclairs,12/4/2022,10437,46
Rafaelita Blaksland,Australia,Raspberry Choco,19/01/2022,6916,259
Karlen McCaffrey,UK,50% Dark Bites,6/4/2022,3647,310
Kaine Padly,Australia,50% Dark Bites,2/8/2022,8995,78
Gigi Bohling,Australia,Eclairs,12/4/2022,7252,136
Oby Sorrel,India,Drinking Coco,21/07/2022,16380,130
Van Tuxwell,New Zealand,Baker's Choco Chips,22/03/2022,9660,24
Husein Augar,India,Peanut Butter Cubes,9/5/2022,4522,5
Andria Kimpton,Australia,Baker's Choco Chips,9/8/2022,329,109
Madelene Upcott,Canada,Choco Coated Almonds,20/07/2022,3458,294
Brien Boise,India,70% Dark Bites,14/04/2022,4641,413
Jehu Rudeforth,Canada,White Choc,25/01/2022,4627,136
Andria Kimpton,Australia,Almond Choco,25/04/2022,3192,175
Dotty Strutley,Canada,After Nines,17/01/2022,252,237
Karlen McCaffrey,USA,Eclairs,15/08/2022,868,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,2/6/2022,210,16
Gunar Cockshoot,USA,85% Dark Bars,30/06/2022,7007,135
Dotty Strutley,New Zealand,Raspberry Choco,10/2/2022,5845,91
Marney O'Breen,Canada,Caramel Stuffed Bars,23/02/2022,1372,614
Dennison Crosswaite,India,Organic Choco Syrup,27/01/2022,8428,216
Camilla Castle,UK,Mint Chip Choco,26/05/2022,4977,317
Brien Boise,USA,70% Dark Bites,14/04/2022,1694,21
Madelene Upcott,Australia,99% Dark & Pure,1/8/2022,4326,154
Mallorie Waber,Australia,Eclairs,22/08/2022,9527,222
Marney O'Breen,India,99% Dark & Pure,22/07/2022,10766,157
Husein Augar,USA,Fruit & Nut Bars,28/04/2022,1288,27
Kelci Walkden,Australia,Almond Choco,30/05/2022,4879,350
Ches Bonnell,USA,Milk Bars,21/07/2022,2408,157
Jan Morforth,UK,Caramel Stuffed Bars,2/8/2022,3094,468
Brien Boise,New Zealand,70% Dark Bites,15/06/2022,7231,130
Oby Sorrel,India,85% Dark Bars,5/7/2022,8981,130
Kaine Padly,New Zealand,Smooth Sliky Salty,12/4/2022,7,518
Gigi Bohling,Australia,70% Dark Bites,18/08/2022,1372,105
Jan Morforth,UK,50% Dark Bites,12/1/2022,5250,293
Gunar Cockshoot,Canada,White Choc,11/8/2022,7560,15
Jehu Rudeforth,Australia,Spicy Special Slims,13/01/2022,5012,384
Husein Augar,UK,Baker's Choco Chips,29/04/2022,3038,135
Rafaelita Blaksland,New Zealand,After Nines,7/7/2022,1099,92
Madelene Upcott,New Zealand,Mint Chip Choco,11/3/2022,7413,4
Madelene Upcott,UK,70% Dark Bites,16/02/2022,5397,239
Barr Faughny,Australia,Organic Choco Syrup,7/1/2022,2303,33
Beverie Moffet,New Zealand,Drinking Coco,12/1/2022,1141,518
Beverie Moffet,India,Eclairs,9/6/2022,10325,147
Andria Kimpton,India,Eclairs,16/05/2022,2149,84
Gigi Bohling,UK,85% Dark Bars,23/06/2022,12362,94
Roddy Speechley,UK,Raspberry Choco,28/01/2022,12635,194
Dotty Strutley,UK,Mint Chip Choco,14/07/2022,2443,216
Barr Faughny,Canada,Drinking Coco,18/04/2022,6237,247
Oby Sorrel,USA,Milk Bars,14/06/2022,1736,79
Oby Sorrel,UK,Orange Choco,15/04/2022,7315,237
Curtice Advani,Canada,Peanut Butter Cubes,19/05/2022,4935,63
Gigi Bohling,India,White Choc,13/04/2022,1393,172
Husein Augar,Canada,Choco Coated Almonds,15/08/2022,3381,408
Wilone O'Kielt,India,Choco Coated Almonds,22/08/2022,2933,233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22/04/2022,3836,59
Kaine Padly,UK,Choco Coated Almonds,3/8/2022,8022,123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,4/1/2022,371,229
Kelci Walkden,Canada,After Nines,13/01/2022,16702,198
Van Tuxwell,Australia,Baker's Choco Chips,11/5/2022,13258,32
Husein Augar,New Zealand,Peanut Butter Cubes,16/02/2022,2058,236
Kaine Padly,UK,Caramel Stuffed Bars,20/05/2022,10192,67
Jehu Rudeforth,UK,Drinking Coco,3/2/2022,7140,438
Beverie Moffet,India,Manuka Honey Choco,6/5/2022,9835,167
Gunar Cockshoot,UK,Choco Coated Almonds,30/06/2022,5775,135
Gunar Cockshoot,UK,Smooth Sliky Salty,22/03/2022,749,148
Camilla Castle,Canada,Orange Choco,17/02/2022,7770,54
Jehu Rudeforth,UK,85% Dark Bars,7/7/2022,5502,64
Oby Sorrel,UK,70% Dark Bites,16/03/2022,6223,181
Kelci Walkden,UK,99% Dark & Pure,12/8/2022,3507,114
Gigi Bohling,New Zealand,After Nines,21/01/2022,5600,181
Oby Sorrel,Australia,50% Dark Bites,6/5/2022,721,151
Oby Sorrel,Canada,50% Dark Bites,24/06/2022,6615,137
Barr Faughny,USA,White Choc,5/5/2022,7420,163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25/03/2022,3164,84
Curtice Advani,Australia,Caramel Stuffed Bars,14/02/2022,9114,140
Curtice Advani,New Zealand,85% Dark Bars,12/5/2022,5404,187
Barr Faughny,New Zealand,Smooth Sliky Salty,25/01/2022,3990,169
Ches Bonnell,UK,85% Dark Bars,28/06/2022,14924,12
Dennison Crosswaite,Australia,Drinking Coco,13/07/2022,7091,194
Roddy Speechley,USA,Milk Bars,16/05/2022,2807,252
Jan Morforth,India,After Nines,14/03/2022,6496,168
Gunar Cockshoot,USA,After Nines,15/08/2022,3738,261
Ches Bonnell,India,Orange Choco,16/02/2022,1190,256
Mallorie Waber,UK,Manuka Honey Choco,15/06/2022,8379,43
Barr Faughny,Australia,Raspberry Choco,27/05/2022,9268,100
Wilone O'Kielt,USA,Drinking Coco,14/06/2022,1029,98
Wilone O'Kielt,India,Eclairs,25/02/2022,3549,76
Wilone O'Kielt,India,After Nines,4/8/2022,12026,262
Kelci Walkden,India,99% Dark & Pure,28/06/2022,2303,244
Gunar Cockshoot,Canada,Spicy Special Slims,5/4/2022,13405,12
Madelene Upcott,Canada,Peanut Butter Cubes,5/7/2022,14763,113
Kaine Padly,New Zealand,Eclairs,20/01/2022,12894,48
Ches Bonnell,New Zealand,Drinking Coco,16/02/2022,8302,131
Curtice Advani,UK,Drinking Coco,12/7/2022,455,174
Kelci Walkden,India,Raspberry Choco,16/06/2022,8183,254
Dotty Strutley,Australia,Choco Coated Almonds,13/04/2022,1645,284
Kaine Padly,UK,50% Dark Bites,21/02/2022,3143,67
Roddy Speechley,Canada,Choco Coated Almonds,11/5/2022,5873,249
Ches Bonnell,India,50% Dark Bites,15/04/2022,11298,313
Oby Sorrel,Canada,Peanut Butter Cubes,7/6/2022,12425,167
Oby Sorrel,UK,White Choc,27/06/2022,1715,286
Barr Faughny,India,After Nines,29/07/2022,8190,109
Wilone O'Kielt,Canada,Smooth Sliky Salty,2/6/2022,4991,166
Rafaelita Blaksland,India,Mint Chip Choco,26/01/2022,15491,85
Rafaelita Blaksland,Canada,99% Dark & Pure,2/3/2022,5096,142
Van Tuxwell,Australia,70% Dark Bites,10/1/2022,7063,104
Beverie Moffet,USA,70% Dark Bites,27/06/2022,2275,115
Barr Faughny,Canada,Orange Choco,30/06/2022,7602,18
Roddy Speechley,Australia,85% Dark Bars,8/7/2022,4200,80
Oby Sorrel,India,Spicy Special Slims,8/6/2022,11137,88
Jan Morforth,UK,Manuka Honey Choco,18/08/2022,3388,212
Kaine Padly,Australia,After Nines,8/4/2022,6832,306
Wilone O'Kielt,Canada,Fruit & Nut Bars,8/8/2022,3437,181
Wilone O'Kielt,UK,Milk Bars,26/08/2022,301,65
Oby Sorrel,Canada,Fruit & Nut Bars,14/01/2022,1869,158
Dennison Crosswaite,USA,Baker's Choco Chips,11/8/2022,17465,271
Madelene Upcott,USA,Almond Choco,31/05/2022,10143,24
Van Tuxwell,New Zealand,50% Dark Bites,11/7/2022,3626,10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2/3/2022,3346,304
Madelene Upcott,Australia,Raspberry Choco,13/07/2022,6321,88
Rafaelita Blaksland,UK,Spicy Special Slims,3/8/2022,9345,133
Curtice Advani,UK,Peanut Butter Cubes,1/3/2022,15008,165
Kelci Walkden,New Zealand,White Choc,13/04/2022,7609,150
Beverie Moffet,Canada,Fruit & Nut Bars,14/02/2022,10332,180
Mallorie Waber,India,White Choc,26/07/2022,819,213
Brien Boise,UK,Drinking Coco,27/01/2022,5754,133
Jehu Rudeforth,India,Peanut Butter Cubes,14/04/2022,28,446
Oby Sorrel,USA,Almond Choco,19/05/2022,6440,141
Husein Augar,India,Eclairs,9/2/2022,4956,58
Brien Boise,UK,Spicy Special Slims,25/05/2022,2352,58
Oby Sorrel,Australia,Manuka Honey Choco,26/01/2022,3906,76
Beverie Moffet,India,White Choc,4/7/2022,1813,296
Ches Bonnell,India,Almond Choco,13/04/2022,11788,73
Gigi Bohling,Australia,Smooth Sliky Salty,25/01/2022,5768,119
Camilla Castle,USA,85% Dark Bars,25/04/2022,2401,78
Camilla Castle,USA,Eclairs,10/6/2022,4515,392
Madelene Upcott,New Zealand,White Choc,22/08/2022,10794,51
Van Tuxwell,India,After Nines,27/06/2022,13706,207
Husein Augar,India,Orange Choco,30/06/2022,4361,40
Jehu Rudeforth,India,Almond Choco,30/08/2022,10122,100
Karlen McCaffrey,Australia,Raspberry Choco,23/08/2022,994,57
Camilla Castle,New Zealand,99% Dark & Pure,26/08/2022,2268,42
Gigi Bohling,Australia,Orange Choco,9/3/2022,574,156
Kelci Walkden,UK,Drinking Coco,20/04/2022,1792,23
Mallorie Waber,Canada,Caramel Stuffed Bars,10/6/2022,4844,539
Husein Augar,Australia,Organic Choco Syrup,8/2/2022,938,158
Brien Boise,Australia,White Choc,25/08/2022,4879,22
Dotty Strutley,India,Peanut Butter Cubes,16/02/2022,9107,73
Dennison Crosswaite,UK,99% Dark & Pure,30/05/2022,12187,27
Gigi Bohling,New Zealand,50% Dark Bites,29/06/2022,5670,64
Gigi Bohling,USA,Milk Bars,16/06/2022,476,133
Brien Boise,UK,Caramel Stuffed Bars,4/3/2022,2681,149
Curtice Advani,New Zealand,Peanut Butter Cubes,15/03/2022,1533,434
Curtice Advani,New Zealand,50% Dark Bites,27/01/2022,9765,85
Beverie Moffet,Canada,Drinking Coco,5/7/2022,994,118
Barr Faughny,USA,Caramel Stuffed Bars,29/03/2022,3318,299
Mallorie Waber,Canada,Almond Choco,12/5/2022,4214,35
Oby Sorrel,USA,Drinking Coco,11/3/2022,7714,44
Brien Boise,New Zealand,Eclairs,11/7/2022,4690,299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,1/8/2022,13062,62
Gunar Cockshoot,UK,Spicy Special Slims,16/02/2022,12488,200
Curtice Advani,USA,After Nines,13/04/2022,14147,235
Oby Sorrel,India,Choco Coated Almonds,14/02/2022,49,363
Ches Bonnell,Australia,Peanut Butter Cubes,14/03/2022,10199,68
Oby Sorrel,Australia,Spicy Special Slims,26/04/2022,11389,26
Jehu Rudeforth,Canada,Manuka Honey Choco,5/4/2022,3584,200
Camilla Castle,Canada,Drinking Coco,3/3/2022,12481,264
Kaine Padly,USA,Spicy Special Slims,13/06/2022,2107,175
Marney O'Breen,New Zealand,70% Dark Bites,14/02/2022,8603,352
Roddy Speechley,New Zealand,99% Dark & Pure,18/04/2022,7483,183
Oby Sorrel,New Zealand,85% Dark Bars,1/2/2022,3381,417
Dotty Strutley,New Zealand,Orange Choco,4/8/2022,2030,146
Andria Kimpton,New Zealand,Almond Choco,5/4/2022,6559,158
Karlen McCaffrey,Australia,99% Dark & Pure,26/01/2022,10822,168
Kaine Padly,UK,After Nines,21/01/2022,18697,176
Kaine Padly,Canada,After Nines,22/08/2022,5845,172
Kaine Padly,UK,Drinking Coco,27/01/2022,2317,224
Rafaelita Blaksland,UK,50% Dark Bites,16/02/2022,10150,68
Dotty Strutley,USA,Raspberry Choco,3/1/2022,3437,46
Karlen McCaffrey,USA,White Choc,24/08/2022,4592,2
Oby Sorrel,USA,Spicy Special Slims,7/2/2022,5691,417
Mallorie Waber,Australia,Smooth Sliky Salty,11/2/2022,4158,109
Kaine Padly,Canada,Organic Choco Syrup,29/03/2022,5684,81
Marney O'Breen,USA,Peanut Butter Cubes,15/06/2022,693,350
Dennison Crosswaite,UK,Smooth Sliky Salty,26/04/2022,546,142
Brien Boise,Australia,Organic Choco Syrup,15/07/2022,4263,264
Beverie Moffet,India,Organic Choco Syrup,23/06/2022,1036,20
Dennison Crosswaite,Australia,Baker's Choco Chips,11/1/2022,13846,421
Beverie Moffet,UK,50% Dark Bites,9/2/2022,2499,271
Van Tuxwell,UK,Almond Choco,6/6/2022,10689,204
Dotty Strutley,UK,Caramel Stuffed Bars,10/8/2022,5768,235
Wilone O'Kielt,Australia,Smooth Sliky Salty,4/1/2022,2226,46
Andria Kimpton,Canada,70% Dark Bites,8/4/2022,10262,15
Barr Faughny,UK,Milk Bars,2/3/2022,3864,430
Van Tuxwell,Canada,Drinking Coco,15/06/2022,4900,709
Jehu Rudeforth,Australia,After Nines,14/02/2022,5250,47
Husein Augar,UK,After Nines,5/7/2022,3507,380
Barr Faughny,India,Mint Chip Choco,12/1/2022,7413,465
Curtice Advani,India,Mint Chip Choco,3/3/2022,8155,96
Jehu Rudeforth,New Zealand,Milk Bars,18/05/2022,2478,188
Gunar Cockshoot,India,Caramel Stuffed Bars,28/07/2022,2471,202
Curtice Advani,UK,Manuka Honey Choco,7/2/2022,1666,106
Andria Kimpton,India,Orange Choco,30/05/2022,301,421
Mallorie Waber,Australia,Raspberry Choco,25/04/2022,8400,27
Beverie Moffet,Canada,85% Dark Bars,16/02/2022,6139,45
Kelci Walkden,Australia,Drinking Coco,4/5/2022,1288,60
Van Tuxwell,Canada,70% Dark Bites,2/6/2022,7077,77
Dennison Crosswaite,USA,Caramel Stuffed Bars,11/7/2022,2317,464
Beverie Moffet,New Zealand,Spicy Special Slims,7/6/2022,63,60
Jan Morforth,UK,Almond Choco,6/7/2022,9744,157
Husein Augar,India,Raspberry Choco,15/06/2022,9954,154
Dotty Strutley,India,Mint Chip Choco,14/04/2022,1260,239
Camilla Castle,India,Drinking Coco,8/8/2022,469,163
Marney O'Breen,UK,Drinking Coco,29/03/2022,973,28
Roddy Speechley,Australia,Organic Choco Syrup,4/7/2022,3647,76
Ches Bonnell,India,99% Dark & Pure,16/02/2022,455,96
Rafaelita Blaksland,Canada,Spicy Special Slims,2/5/2022,2520,156
Van Tuxwell,India,Eclairs,21/07/2022,10500,106
Gunar Cockshoot,Australia,99% Dark & Pure,18/08/2022,7952,235
Kaine Padly,USA,85% Dark Bars,22/06/2022,483,259
Camilla Castle,UK,Peanut Butter Cubes,19/07/2022,4872,126
Madelene Upcott,UK,Peanut Butter Cubes,12/8/2022,7756,85
Madelene Upcott,USA,Choco Coated Almonds,7/6/2022,5446,132
Marney O'Breen,Canada,Peanut Butter Cubes,8/3/2022,6594,91
Ches Bonnell,Australia,Choco Coated Almonds,8/4/2022,1470,167
Curtice Advani,Canada,Eclairs,6/5/2022,721,203
Roddy Speechley,India,Drinking Coco,31/05/2022,4494,11
Van Tuxwell,Australia,Mint Chip Choco,13/01/2022,2674,295
Dennison Crosswaite,USA,70% Dark Bites,15/03/2022,658,77
Andria Kimpton,Canada,Peanut Butter Cubes,16/02/2022,1127,319
Gigi Bohling,USA,70% Dark Bites,14/01/2022,7364,196
Rafaelita Blaksland,Australia,White Choc,21/03/2022,6818,102
Roddy Speechley,Canada,Drinking Coco,17/05/2022,6776,312
Camilla Castle,New Zealand,85% Dark Bars,8/8/2022,15099,55
Madelene Upcott,Canada,Milk Bars,26/04/2022,3612,82
Madelene Upcott,Australia,70% Dark Bites,15/04/2022,3710,260
Oby Sorrel,Canada,Eclairs,19/05/2022,6111,591
Dennison Crosswaite,Canada,Drinking Coco,10/1/2022,2702,24
Mallorie Waber,New Zealand,After Nines,4/5/2022,483,228
Roddy Speechley,Canada,White Choc,5/4/2022,5887,268
Andria Kimpton,India,After Nines,17/01/2022,952,68
Roddy Speechley,India,Spicy Special Slims,22/03/2022,10647,173
Dotty Strutley,Australia,White Choc,5/7/2022,6055,93
Oby Sorrel,Canada,Orange Choco,27/04/2022,8757,338
Kaine Padly,Canada,Almond Choco,12/8/2022,6055,73
Jan Morforth,UK,Baker's Choco Chips,11/3/2022,721,251
Jehu Rudeforth,UK,Fruit & Nut Bars,13/05/2022,8589,229
Dennison Crosswaite,USA,Smooth Sliky Salty,12/5/2022,11781,91
Brien Boise,USA,Raspberry Choco,12/1/2022,672,194
Madelene Upcott,New Zealand,Milk Bars,29/03/2022,12558,403
Roddy Speechley,India,50% Dark Bites,14/03/2022,8337,12
Barr Faughny,New Zealand,99% Dark & Pure,24/05/2022,8134,195
Dennison Crosswaite,Canada,Organic Choco Syrup,28/01/2022,8491,75
Beverie Moffet,India,Almond Choco,24/05/2022,3066,96
Brien Boise,Australia,Peanut Butter Cubes,19/08/2022,301,205
Karlen McCaffrey,Australia,Spicy Special Slims,17/05/2022,4410,323
Jehu Rudeforth,USA,White Choc,7/6/2022,6559,119
Ches Bonnell,Canada,Organic Choco Syrup,26/07/2022,574,217
Dotty Strutley,India,Eclairs,28/07/2022,2086,384
Karlen McCaffrey,India,70% Dark Bites,23/05/2022,5075,344
Jehu Rudeforth,UK,Mint Chip Choco,4/1/2023,5902.13,178
Van Tuxwell,India,85% Dark Bars,1/8/2023,8074.39,100
Gigi Bohling,India,Peanut Butter Cubes,7/7/2023,4666.18,100
Jan Morforth,Australia,Peanut Butter Cubes,27/04/2023,14103.4,350
Jehu Rudeforth,UK,Peanut Butter Cubes,24/02/2023,14167.84,178
Van Tuxwell,India,Smooth Sliky Salty,6/6/2023,5768.75,37
Oby Sorrel,UK,99% Dark & Pure,25/01/2023,14673.2,175
Gunar Cockshoot,Australia,After Nines,24/03/2023,3249.23,78
Jehu Rudeforth,New Zealand,50% Dark Bites,20/04/2023,4526.24,64
Brien Boise,Australia,99% Dark & Pure,4/7/2023,3166.56,98
Rafaelita Blaksland,UK,Smooth Sliky Salty,13/01/2023,4866.39,65
Barr Faughny,USA,Orange Choco,10/3/2023,4254.37,12
Mallorie Waber,Canada,Eclairs,13/01/2023,1652.61,277
Karlen McCaffrey,New Zealand,Drinking Coco,28/07/2023,171.49,163
Marney O'Breen,New Zealand,Peanut Butter Cubes,3/8/2023,8549.84,169
Beverie Moffet,Australia,Organic Choco Syrup,26/01/2023,7807.74,355
Van Tuxwell,Canada,Organic Choco Syrup,14/02/2023,4561.43,44
Roddy Speechley,USA,Smooth Sliky Salty,5/4/2023,3041.12,148
Beverie Moffet,Canada,Milk Bars,16/02/2023,9786.09,248
Curtice Advani,UK,85% Dark Bars,8/6/2023,1131.25,175
Brien Boise,Australia,Eclairs,27/06/2023,7484.07,94
Gunar Cockshoot,USA,Spicy Special Slims,17/02/2023,1339.61,166
Marney O'Breen,USA,After Nines,30/05/2023,5481.18,159
Husein Augar,UK,Drinking Coco,14/03/2023,3275.4,120
Kaine Padly,Australia,Eclairs,28/02/2023,7677.78,118
Karlen McCaffrey,India,Fruit & Nut Bars,26/01/2023,189.37,315
Roddy Speechley,Canada,Spicy Special Slims,9/2/2023,1658.79,193
Husein Augar,USA,Eclairs,7/7/2023,4168.93,122
Dennison Crosswaite,New Zealand,White Choc,5/7/2023,10604.89,165
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15/06/2023,5773.51,325
Van Tuxwell,New Zealand,85% Dark Bars,24/05/2023,1838.78,121
Rafaelita Blaksland,UK,99% Dark & Pure,29/06/2023,12643.1,150
Wilone O'Kielt,Australia,Manuka Honey Choco,11/5/2023,4439.52,95
Karlen McCaffrey,UK,Almond Choco,30/06/2023,7698.6,126
Andria Kimpton,Canada,After Nines,11/5/2023,2222.3,77
Roddy Speechley,USA,Manuka Honey Choco,22/07/2023,10959.02,302
Andria Kimpton,UK,50% Dark Bites,24/08/2023,2854.85,337
Kelci Walkden,New Zealand,After Nines,7/7/2023,147.82,74
Camilla Castle,Australia,85% Dark Bars,19/05/2023,3790.51,14
Karlen McCaffrey,India,Manuka Honey Choco,4/7/2023,2487.19,583
Kelci Walkden,USA,After Nines,2/6/2023,1021.27,17
Karlen McCaffrey,USA,Raspberry Choco,15/04/2023,15370.06,353
Mallorie Waber,Canada,Choco Coated Almonds,11/7/2023,5345.58,250
Andria Kimpton,India,Spicy Special Slims,23/02/2023,6559.44,154
Madelene Upcott,Canada,Almond Choco,22/08/2023,8282.93,107
Kaine Padly,USA,Peanut Butter Cubes,16/02/2023,6981.4,189
Van Tuxwell,USA,50% Dark Bites,13/01/2023,10280.17,155
Curtice Advani,Australia,Milk Bars,14/02/2023,7703.62,20
Roddy Speechley,India,Eclairs,10/6/2023,4489.81,310
Curtice Advani,India,Fruit & Nut Bars,7/7/2023,5806.11,190
Curtice Advani,Canada,Almond Choco,24/03/2023,5148.7,76
Brien Boise,Australia,Fruit & Nut Bars,6/6/2023,8558.59,24
Dotty Strutley,Australia,Drinking Coco,19/07/2023,94.19,145
Beverie Moffet,USA,Raspberry Choco,19/04/2023,16223.83,87
Marney O'Breen,India,85% Dark Bars,19/07/2023,2439.06,175
Jehu Rudeforth,Canada,Drinking Coco,15/07/2023,466.65,23
Ches Bonnell,New Zealand,Spicy Special Slims,14/02/2023,4044.24,18
Brien Boise,Canada,99% Dark & Pure,18/05/2023,17675.28,446
Barr Faughny,Australia,Fruit & Nut Bars,30/06/2023,17280.98,58
Andria Kimpton,Australia,50% Dark Bites,2/6/2023,5091.78,219
Andria Kimpton,Australia,Drinking Coco,28/06/2023,1657.2,49
Marney O'Breen,Australia,Organic Choco Syrup,16/05/2023,305.79,189
Kelci Walkden,Canada,Baker's Choco Chips,26/05/2023,3377.41,325
Karlen McCaffrey,India,Almond Choco,6/7/2023,6188.62,157
Oby Sorrel,India,99% Dark & Pure,27/05/2023,10914.36,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14/04/2023,2342.07,12
Van Tuxwell,Australia,Organic Choco Syrup,10/8/2023,21762.8,15
Camilla Castle,India,50% Dark Bites,4/7/2023,10539.54,398
Oby Sorrel,India,Organic Choco Syrup,8/7/2023,6665.87,60
Jan Morforth,USA,Peanut Butter Cubes,22/07/2023,9605.11,98
Gigi Bohling,USA,Choco Coated Almonds,2/3/2023,13018,103
Gigi Bohling,UK,Almond Choco,10/1/2023,6046.4,10
Jehu Rudeforth,New Zealand,White Choc,11/3/2023,3078.33,231
Andria Kimpton,New Zealand,Peanut Butter Cubes,20/06/2023,970.96,291
Van Tuxwell,UK,Organic Choco Syrup,26/08/2023,2064.71,208
Roddy Speechley,Canada,Milk Bars,13/07/2023,679.94,34
Camilla Castle,USA,Spicy Special Slims,11/2/2023,1311.25,251
Marney O'Breen,USA,Orange Choco,27/01/2023,8692.64,184
Van Tuxwell,UK,99% Dark & Pure,31/01/2023,4993.21,145
Camilla Castle,USA,White Choc,18/08/2023,10898.19,24
Andria Kimpton,USA,Raspberry Choco,30/06/2023,15565.91,21
Dotty Strutley,Australia,Fruit & Nut Bars,23/08/2023,280.59,328
Brien Boise,New Zealand,Mint Chip Choco,1/8/2023,66.35,197
Roddy Speechley,New Zealand,After Nines,25/05/2023,8766.45,10
Roddy Speechley,Canada,Organic Choco Syrup,10/1/2023,4265.48,85
Dennison Crosswaite,Australia,70% Dark Bites,7/2/2023,6087.53,113
Karlen McCaffrey,USA,Orange Choco,12/5/2023,11694.48,425
Madelene Upcott,Australia,Spicy Special Slims,7/3/2023,7616.38,392
Dennison Crosswaite,Australia,85% Dark Bars,5/4/2023,7807.02,419
Andria Kimpton,Canada,Caramel Stuffed Bars,3/1/2023,7990.91,343
Dennison Crosswaite,UK,Eclairs,24/03/2023,6757.17,276
Madelene Upcott,India,Raspberry Choco,7/7/2023,4409.21,10
Van Tuxwell,USA,After Nines,26/07/2023,722.25,255
Wilone O'Kielt,Australia,Organic Choco Syrup,7/7/2023,1896.24,115
Karlen McCaffrey,Canada,50% Dark Bites,15/07/2023,2966.83,65
Roddy Speechley,New Zealand,Orange Choco,1/4/2023,51.29,100
Beverie Moffet,Australia,Eclairs,20/06/2023,1835.42,6
Kelci Walkden,UK,Fruit & Nut Bars,29/06/2023,14592.11,509
Marney O'Breen,USA,50% Dark Bites,15/06/2023,1114.13,106
Husein Augar,USA,After Nines,8/4/2023,13051.75,193
Dennison Crosswaite,Australia,Raspberry Choco,14/03/2023,5997.71,31
Andria Kimpton,USA,Fruit & Nut Bars,15/07/2023,1588.28,352
Kelci Walkden,India,Eclairs,19/04/2023,5344.21,80
Marney O'Breen,USA,99% Dark & Pure,28/03/2023,4646.91,317
Brien Boise,Canada,Spicy Special Slims,4/3/2023,8929.88,100
Karlen McCaffrey,New Zealand,70% Dark Bites,2/8/2023,141.23,38
Husein Augar,UK,Spicy Special Slims,25/08/2023,5068.99,45
